Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
